"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2008","Cyprus","Motorways","Kilometre","257",""
"2008","Cyprus","E-roads","Kilometre",":",""
"2008","Latvia","Motorways","Kilometre","0",""
"2008","Latvia","E-roads","Kilometre","202",""
"2008","Lithuania","Motorways","Kilometre","309",""
"2008","Lithuania","E-roads","Kilometre","1,649",""
"2008","Luxembourg","Motorways","Kilometre","147",""
"2008","Luxembourg","E-roads","Kilometre",":",""
"2008","Hungary","Motorways","Kilometre","1,273.7",""
"2008","Hungary","E-roads","Kilometre","2,237.8",""
"2008","Malta","Motorways","Kilometre",":",""
"2008","Malta","E-roads","Kilometre",":",""
"2008","Netherlands","Motorways","Kilometre","2,637",""
"2008","Netherlands","E-roads","Kilometre",":",""
"2008","Austria","Motorways","Kilometre","1,696",""
"2008","Austria","E-roads","Kilometre","2,236",""
"2008","Poland","Motorways","Kilometre","765",""
"2008","Poland","E-roads","Kilometre","5,500",""
"2008","Portugal","Motorways","Kilometre","2,673","d"
"2008","Portugal","E-roads","Kilometre","2,258","d"
"2008","Romania","Motorways","Kilometre","281",""
"2008","Romania","E-roads","Kilometre","6,073",""
"2008","Slovenia","Motorways","Kilometre","696",""
"2008","Slovenia","E-roads","Kilometre","628",""
"2008","Slovakia","Motorways","Kilometre","384",""
"2008","Slovakia","E-roads","Kilometre","1,538.8",""
"2008","Finland","Motorways","Kilometre","739",""
"2008","Finland","E-roads","Kilometre","4,279",""
"2008","Sweden","Motorways","Kilometre","1,857",""
"2008","Sweden","E-roads","Kilometre","6,389",""
"2008","United Kingdom","Motorways","Kilometre","3,672.81",""
"2008","United Kingdom","E-roads","Kilometre","3,756","d"
"2008","Iceland","Motorways","Kilometre",":",""
"2008","Iceland","E-roads","Kilometre",":",""
"2008","Norway","Motorways","Kilometre","253",""
"2008","Norway","E-roads","Kilometre",":",""
"2008","Switzerland","Motorways","Kilometre","1,383",""
"2008","Switzerland","E-roads","Kilometre","1,466",""
"2008","Former Yugoslav Republic of Macedonia, the","Motorways","Kilometre","237",""
"2008","Former Yugoslav Republic of Macedonia, the","E-roads","Kilometre","553",""
"2008","Turkey","Motorways","Kilometre","1,922",""
"2008","Turkey","E-roads","Kilometre","8,878",""
"2009","Belgium","Motorways","Kilometre","1,763",""
